"","header","link","desc","date","author"
"11","As Russia and U.S. Debate Ukraine, Ukraine Would Like a Say","/2022/01/09/world/europe/ukraine-russia-negotiations.html?searchResultPosition=1","While the United States and NATO speak with Russia this week, the Ukrainian government has been sidelined and is instead quietly pursuing separate negotiations with Moscow.","Jan. 9, 2022","By Andrew E. Kramer"
"12","Russia Warns That U.S. Doesn’t Understand Its Goals on Ukraine","/2022/01/09/world/europe/russia-ukraine-us-geneva.html?searchResultPosition=2","Before the two countries met amid rising tensions over Ukraine, a senior Russian official and the U.S. secretary of state set a pessimistic tone.","Jan. 9, 2022","By Anton Troianovski and David E. Sanger"
"13","What’s missing from the early talks over Ukraine? Ukraine.","/live/2022/01/10/world/russia-us-ukraine-talks/whats-missing-from-the-early-talks-over-ukraine-ukraine?searchResultPosition=3","The country doesn’t have a place at the table for two of three negotiating sessions, so its leaders have been quietly pursuing its own track with Moscow.","Jan. 10, 2022","By Andrew E. Kramer"
"14","U.S. and Russia Will Discuss European Security, but Without Europeans","/2022/01/10/world/europe/us-russia-europe-ukraine-nato.html?searchResultPosition=4","The coming talks in Geneva are bilateral, reviving old fears that the two Cold War powers will forge a deal on their own.","Jan. 10, 2022","By Steven Erlanger"
"15","In U.S.-Russia Talks, How Far Can Putin Turn Back the Clock?","/2022/01/10/world/europe/us-russia-cold-war-ukraine.html?searchResultPosition=5","The Cold War echoes of the negotiations unfolding this week in a series of meetings between Russia and the West are a reminder that there is nothing permanent about Europe’s security arrangements.","Jan. 10, 2022","By David E. Sanger"
"16","Russian Troops Will Stay to Finish Job in Kazakhstan, Putin Says","/2022/01/10/world/europe/putin-russia-kazakhstan.html?searchResultPosition=6","Blaming “internal and external forces” for the unrest in the resource-rich Central Asian country, President Vladimir V. Putin of Russia set no deadline for the withdrawal of the forces his country sent there.","Jan. 10, 2022","By Valerie Hopkins"
"17","A Times reporter recently traveled to the front line in eastern Ukraine.","/live/2022/01/10/world/russia-us-ukraine-talks/a-times-reporter-recently-traveled-to-the-front-line-in-eastern-ukraine?searchResultPosition=7",NA,"Jan. 10, 2022","By Michael Schwirtz"
"18","Despite deep ties, the threat of military action turns more Ukrainians against Russia.","/live/2022/01/10/world/russia-us-ukraine-talks/despite-deep-ties-the-threat-of-military-action-turns-more-ukrainians-against-russia?searchResultPosition=8",NA,"Jan. 10, 2022","By Maria Varenikova"
"19","See how Russian troops are poised near Ukraine’s borders.","/live/2022/01/10/world/russia-us-ukraine-talks/see-how-russian-troops-are-poised-to-threaten-ukraine?searchResultPosition=9",NA,"Jan. 10, 2022","By Michael Schwirtz and Scott Reinhard"
"20","Why Ukraine is important to Putin.","/2022/02/16/world/europe/why-ukraine-is-important-to-putin.html?searchResultPosition=10",NA,"Jan. 10, 2022","By Anton Troianovski"
"21","Putin’s Next Move on Ukraine Is a Mystery. Just the Way He Likes It.","/2022/01/11/world/europe/putin-ukraine-russia.html?searchResultPosition=1","The contradictory, sometimes menacing messages from the Kremlin have stumped Western officials and Russia experts, showing the Russian leader’s desire to keep his rivals on edge.","Jan. 11, 2022","By Anton Troianovski"
"22","A Russian Pledge of No Invasion? Ukrainians Are Skeptical.","/2022/01/11/world/europe/ukraine-russia.html?searchResultPosition=2","When Russians say no, they often mean yes, a former Ukrainian member of Parliament said, as suspicion ran deep about Moscow’s intentions.","Jan. 11, 2022","By Andrew E. Kramer"
"23","Senate Democrats are working to kill a Republican measure to slap sanctions on the Nord Stream 2 pipeline.","/2022/01/12/world/europe/russia-sanctions-ukraine-nord-stream-pipeline.html?searchResultPosition=3","The Democrats’ bill would impose new sanctions on Russian officials if Moscow invaded Ukraine.","Jan. 12, 2022","By Catie Edmondson"
"24","Russian and NATO officials say significant differences remain after Wednesday’s talks.","/live/2022/01/12/world/russia-ukraine-nato-us/a-crucial-diplomatic-roadshow-involving-russia-and-the-west-shifts-to-brussels?searchResultPosition=4",NA,"Jan. 12, 2022","By Steven Erlanger, Elian Peltier, Michael Crowley and Anton Troianovski"
"25","What is NATO?","/live/2022/01/12/world/russia-ukraine-nato-us/nato-definition?searchResultPosition=5","The North Atlantic Treaty Organization, a military alliance of Western powers, was created during the Cold War and remains central to Western diplomatic and military cooperation.","Jan. 12, 2022","By Peter Robins"
"26","Russia’s reassurances ring hollow in Ukraine.","/live/2022/01/12/world/russia-ukraine-nato-us/russias-reassurances-ring-hollow-in-ukraine?searchResultPosition=6",NA,"Jan. 12, 2022","By Andrew E. Kramer"
"27","NATO and Russia Talk Frankly, but Past One Another for Now","/2022/01/12/world/europe/nato-russia-talks-ukraine-brussels.html?searchResultPosition=7","Four hours of frank and serious discussion between Russia and the 30-member alliance leave unanswered whether Vladimir V. Putin will choose diplomacy or war.","Jan. 12, 2022","By Steven Erlanger and Anton Troianovski"
"28","NATO made a promise to Ukraine. Russia sees it as a threat.","/live/2022/01/12/world/russia-ukraine-nato-us/nato-made-a-promise-to-ukraine-russia-sees-it-as-a-threat?searchResultPosition=8",NA,"Jan. 12, 2022","By Steven Erlanger"
"29","What comes next in the diplomatic roadshow over Ukraine.","/live/2022/01/12/world/russia-ukraine-nato-us/lots-of-talk-over-ukraine-but-when-will-decisions-be-made?searchResultPosition=9",NA,"Jan. 12, 2022","By Steven Erlanger"
"30","A key concern for Russia: rebuilding its sphere of influence.","/live/2022/01/12/world/russia-ukraine-nato-us/a-key-concern-for-russia-preserving-and-extending-its-sphere-of-influence?searchResultPosition=10",NA,"Jan. 12, 2022","By Elian Peltier"
"31","Hackers Bring Down Government Sites in Ukraine","/2022/01/14/world/europe/hackers-ukraine-government-sites.html?searchResultPosition=1","“Be afraid,” warned a message on the defaced Foreign Ministry website, a day after talks between the West and Moscow aimed at preventing a Russian invasion hit an impasse.","Jan. 14, 2022","By Andrew E. Kramer"
"32","Russia, at an Impasse With the West, Warns It Is Ready to Abandon Diplomacy","/2022/01/13/world/europe/russia-ukraine-talks.html?searchResultPosition=2","In a third round of talks on Eastern European security this week, both Kremlin and American officials sounded an increasingly pessimistic note.","Jan. 13, 2022","By Anton Troianovski and David E. Sanger"
"33","For Putin, Propping Up Allies Is Turning Into a Perilous Bargain","/2022/01/13/world/europe/putin-ukraine-kazakhstan.html?searchResultPosition=3","The Russian leader is fighting fires on multiple fronts, illustrating the danger of his strategy of relying on force to aid his autocratic neighbors.","Jan. 13, 2022","By Max Fisher"
"34","Fear of Russia Brings New Purpose and Unity to NATO, Once Again","/2022/01/14/world/europe/nato-russia-ukraine-europe.html?searchResultPosition=4","After years of drift, Trumpian ridicule and failure in Afghanistan, Russian demands for a new Iron Curtain in Europe have created unity in the alliance, at least for now.","Jan. 14, 2022","By Steven Erlanger"
"35","Russia Says It Shut Down Notorious Hacker Group at U.S. Request","/2022/01/14/world/europe/revil-ransomware-russia-arrests.html?searchResultPosition=5","Moscow said the ransomware group REvil “ceased to exist” after raids and arrests. It is not clear if the operation will ease tensions with Washington.","Jan. 14, 2022","By Ivan Nechepurenko"
"36","North Korea Fires 2 Ballistic Missiles After Lashing Out Over Sanctions","/2022/01/14/world/asia/north-korea-missiles-us-sanctions.html?searchResultPosition=6","The launches came after the country threatened “stronger and certain reaction” if the United States helped imposed more sanctions over the North’s recent missile tests.","Jan. 13, 2022","By Choe Sang-Hun"
"37","Russia Issues Subtle Threats More Far-Reaching Than a Ukraine Invasion","/2022/01/16/world/europe/russia-ukraine-invasion.html?searchResultPosition=1","If the West fails to meet its security demands, Moscow could take measures like placing nuclear missiles close to the U.S. coastline, Russian officials have hinted.","Jan. 16, 2022","By Anton Troianovski and David E. Sanger"
"38","Poroshenko, Ex-President, Returns to Ukraine, Roiling Politics","/2022/01/17/world/europe/petro-poroshenko-russia-ukraine.html?searchResultPosition=1","Petro O. Poroshenko, a former president, returned to Kyiv on Monday facing possible arrest, adding internal political turmoil to a threat of Russian invasion.","Jan. 17, 2022","By Andrew E. Kramer"
"39","Biden Strengthens Words on Ukraine After Flustering European Partners","/2022/01/20/world/europe/ukraine-biden-eu.html?searchResultPosition=1","After the president laid bare divisions over Russian meddling in Ukraine, his administration scrambled to get on the same page with European allies.","Jan. 20, 2022","By Michael Crowley and Steven Erlanger"
"40","Court in Ukraine Declines Request to Arrest Former President","/2022/01/19/world/europe/ukraine-poroshenko-zelensky.html?searchResultPosition=2","A feud between President Volodymyr Zelensky and his predecessor, Petro O. Poroshenko, has carried on despite the risk the country is facing from Russia.","Jan. 19, 2022","By Andrew E. Kramer"
"41","Russia and Iran Put on a Show of Unity — Against the U.S.","/2022/01/19/world/europe/russia-iran-unity-us.html?searchResultPosition=3","Vladimir V. Putin met at the Kremlin with Iran’s new leader, Ebrahim Raisi, at a time when both their countries, despite their differences, are at odds with Washington.","Jan. 19, 2022","By Anton Troianovski, Farnaz Fassihi and Steven Erlanger"
"42","Russia-Ukraine War","/news-event/ukraine-russia?searchResultPosition=4","","Jan. 20, 2022",NA
"43","U.S. and Russia Take More Measured Stance in Ukraine Talks","/2022/01/21/world/europe/ukraine-russia-us-blinken-lavrov.html?searchResultPosition=1","The conciliatory tone and absence of ultimatums suggested that both sides were trying to keep tensions in check and give diplomacy time.","Jan. 21, 2022","By Michael Crowley and Anton Troianovski"
"44","Britain Says Moscow Is Plotting to Install a Pro-Russian Leader in Ukraine","/2022/01/22/world/europe/ukraine-russia-coup-britain.html?searchResultPosition=2","In a highly unusual public statement, backed by U.S. officials, London named the putative head of a potential puppet government but few other details.","Jan. 22, 2022","By Michael Schwirtz, David E. Sanger and Mark Landler"
"45","Defend Chernobyl During an Invasion? Why Bother, Some Ukrainians Ask.","/2022/01/22/world/europe/chernobyl-ukraine-invasion-russia.html?searchResultPosition=3","Ukraine has initiated a defensive strategy for the Chernobyl Exclusion Zone, one of the most radioactive places on Earth, which lies on the shortest path between Russia and Ukraine’s capital, Kyiv.","Jan. 22, 2022","By Andrew E. Kramer and Tyler Hicks"
"46","Here’s one way a war might start.","/live/2022/01/25/world/ukraine-russia-us/russia-invade-ukraine?searchResultPosition=4","How hostilities might start has been, by design, something of a guessing game. But a Russian proposal suggests one possibility.","Jan. 21, 2022","By Andrew E. Kramer"
"47","Ukraine accuses Russia of sending mercenaries into rebel-held territories.","/2022/01/21/world/europe/ukraine-russia-rebel-territories.html?searchResultPosition=5","The claim of soldiers for hire joining Russian-backed separatists in eastern Ukraine adds fuel to fears that Moscow will start a new offensive.","Jan. 21, 2022","By Michael Schwirtz"
"48","The U.S. said it would respond in writing to Russia’s demands, as both sides tried to keep tensions in check.","/live/2022/01/21/world/russia-us-ukraine/another-high-stakes-us-russia-meeting-comes-as-fears-grow-of-a-new-war-in-europe?searchResultPosition=6",NA,"Jan. 21, 2022","By Michael Crowley and Anton Troianovski"
"49","Under threat of war, Ukraine’s economy shudders. So does Russia’s.","/live/2022/01/21/world/russia-us-ukraine/under-threat-of-war-ukraines-economy-shudders-so-does-russias?searchResultPosition=7",NA,"Jan. 21, 2022","By Andrew E. Kramer"
"50","The U.S. authorizes the delivery of Stinger anti-aircraft missiles to Ukraine.","/live/2022/01/21/world/russia-us-ukraine/the-us-authorizes-the-delivery-of-stinger-anti-aircraft-missiles-to-ukraine?searchResultPosition=8",NA,"Jan. 21, 2022","By Michael Schwirtz"
"51","Earlier this week, Biden predicted that Putin would ‘test the West’ with an invasion of Ukraine.","/live/2022/01/21/world/russia-us-ukraine/biden-predicts-that-putin-will-test-the-west-with-an-invasion-of-ukraine?searchResultPosition=9",NA,"Jan. 21, 2022","By David E. Sanger"
"52","Here are answers to five key questions about the crisis.","/live/2022/01/21/world/russia-us-ukraine/here-are-answers-to-five-key-questions-about-the-crisis?searchResultPosition=10",NA,"Jan. 21, 2022","By David Leonhardt"
"53","Britain Pursues More Muscular Role in Standoff With Russia on Ukraine","/2022/01/23/world/europe/uk-russia-ukraine.html?searchResultPosition=1","With a late-night announcement about Russian meddling in Ukraine, the U.K. signaled its aim to be a player in Europe’s security crisis — even as scandals besiege Prime Minister Boris Johnson.","Jan. 23, 2022","By Mark Landler"
"54","NATO Steps Up Readiness in Eastern Europe to Reassure Allies","/2022/01/24/world/europe/ukraine-nato-russia-embassies.html?searchResultPosition=2","The alliance is sending more jets and ships to the region. The decision comes as Britain joined the U.S. in withdrawing the families of diplomats in Kyiv.","Jan. 24, 2022","By Michael Schwirtz and Steven Erlanger"
"55","For Ukrainian Soldiers, a Nervous Guessing Game on the Front","/2022/01/25/world/europe/ukraine-russia-frontline.html?searchResultPosition=1","Given Russia’s penchant for misdirection, it’s unclear how a military incursion would start. And that keeps the Ukrainian troops on edge.","Jan. 25, 2022","By Andrew E. Kramer"
"56","As West Warns of Russian Attack, Ukraine Sends Different Message","/2022/01/25/world/europe/ukraine-russia-invasion.html?searchResultPosition=2","The ‘‘stay calm” posture has left analysts guessing about its leadership’s motivation, but some say that after eight years of war, the country simply calculates the risks differently.","Jan. 25, 2022","By Michael Schwirtz"
"57","Where Is Germany in the Ukraine Standoff? Its Allies Wonder.","/2022/01/25/world/europe/germany-russia-nato-ukraine.html?searchResultPosition=3","Germany’s allies have begun to question what price Berlin is prepared to pay to deter Russia, and even its reliability as an ally, as it wavers on tough measures.","Jan. 25, 2022","By Katrin Bennhold"
"58","The World Awaits Putin’s Word on Ukraine, but on That, He Is Silent","/2022/01/26/world/europe/putin-ukraine.html?searchResultPosition=4","The Russian president appears on camera almost daily, talking about things like cryptocurrency, green energy and the World’s Fair. But not about Ukraine.","Jan. 26, 2022","By Anton Troianovski and Jason Horowitz"
"59","How Do You Say Kyiv? It Can Be Hard for English Speakers.","/2022/01/25/world/europe/kyiv-pronunciation.html?searchResultPosition=5","“When I see American media, it’s always different, it’s always new, always a surprise,” said a teacher of Ukrainian and Russian languages.","Jan. 25, 2022","By Daniel Victor and Karen Zraick"
"60","What U.S. sanctions on Putin might look like.","/live/2022/01/26/world/ukraine-russia-us/putin-sanctions?searchResultPosition=6","The U.S. could seize assets or bar the Russian president from entering the country, but experts say such moves wouldn’t change his thinking.","Jan. 26, 2022","By Patricia Cohen"
"61","Ukraine on edge: Images from the front lines.","/live/2022/01/26/world/ukraine-russia-us/ukraine-on-edge-images-from-the-front-lines?searchResultPosition=7",NA,"Jan. 26, 2022",NA
"62","Boris Johnson says a Russian attack could turn Ukraine into ‘a wasteland.’","/live/2022/01/25/world/ukraine-russia-us/boris-johnson-says-a-russian-attack-could-turn-ukraine-into-a-wasteland?searchResultPosition=8",NA,"Jan. 25, 2022","By Marc Santora"
"63","Putin’s monthlong silence on Ukraine keeps everyone guessing.","/live/2022/01/26/world/ukraine-russia-us/putins-monthlong-silence-on-ukraine-keeps-everyone-guessing?searchResultPosition=9",NA,"Jan. 26, 2022","By Anton Troianovski"
"64","Russia steps up its disinformation campaign, aiming to build support at home and in Ukraine.","/live/2022/01/26/world/ukraine-russia-us/russia-steps-up-disinformation-campaign-as-it-tries-to-build-support-over-ukraine?searchResultPosition=10",NA,"Jan. 26, 2022","By Julian E. Barnes"
"65","White House Warnings Over Russia Strain Ukraine-U.S. Partnership","/2022/01/28/world/europe/biden-ukraine-russia-diplomacy.html?searchResultPosition=1","While Ukraine’s president complained about “acute and burning” warnings from Washington, the Pentagon issued a dire new appraisal asserting Russia has amassed enough troops to invade his entire country.","Jan. 28, 2022","By Michael Schwirtz and Andrew E. Kramer"
"66","Russia’s Military, Once Creaky, Is Modern and Lethal","/2022/01/27/world/europe/russia-military-putin-ukraine.html?searchResultPosition=2","A significantly upgraded military has emerged as a key tool of Vladimir Putin’s foreign policy, as he flexes his might around the globe and, most ominously, on the Ukraine border.","Jan. 27, 2022","By Anton Troianovski, Michael Schwirtz and Andrew E. Kramer"
"67","Ukrainian police arrest a suspect in a shooting at an aerospace and rocket factory.","/2022/01/27/world/europe/ukraine-shooting-soldier.html?searchResultPosition=3","The authorities identified the man as a young national guard soldier and said he opened fire on fellow soldiers “for undetermined reasons.” The site has been a focus of weapons proliferation concerns.","Jan. 27, 2022","By Andrew E. Kramer"
"68","Gunman Kills 5 at Ukraine Rocket Factory, Adding to Tensions","/2022/01/27/world/europe/ukraine-rocket-factory-shooting.html?searchResultPosition=4","Little was known about the shooting at the aerospace plant, but it came amid concerns about sabotage.","Jan. 27, 2022","By Andrew E. Kramer"
"69","Germany draws mockery for promising 5,000 helmets to help Ukraine defend itself.","/2022/01/27/world/europe/germany-5000-helmets-ukraine.html?searchResultPosition=5","Critics saw it as a sign of Germany’s reticence to confront Russia. One asked: “What support are they going to send next? Pillows?”","Jan. 27, 2022","By Christopher F. Schuetze"
"70","China backs Russia over Ukraine, rebuking the U.S. and NATO.","/live/2022/01/27/world/ukraine-russia-us/china-russia-ukraine-us?searchResultPosition=6","The remarks reflected the deepening ties between China and Russia, especially in opposition to the United States on security matters.","Jan. 27, 2022","By Steven Lee Myers"
"71","Biden offers reassurances to Ukrainian leader as Russian troop buildup continues.","/live/2022/01/28/world/ukraine-russia-news/biden-offers-reassurances-to-ukrainian-leader-as-russian-troop-buildup-continues?searchResultPosition=7",NA,"Jan. 28, 2022","By Shashank Bengali and Andrew E. Kramer"
"72","In Standoff With Putin, Biden Makes Sure European Allies Are With Him","/2022/01/28/world/europe/biden-putin-ukraine-europe.html?searchResultPosition=8","In what amounts to a much-needed diplomatic reset, the U.S. is orchestrating the response to Russia’s threatening moves and making sure to include his European allies.","Jan. 28, 2022","By Mark Landler, Steven Erlanger and David E. Sanger"
"73","How Russia Has Increased Its Military Buildup","/interactive/2022/01/27/world/europe/russia-forces.html?searchResultPosition=9","Russia has continued to mass forces on the Ukrainian border, with troops now surrounding the country on all sides, including in Belarus and Transnistria, a Russian-backed breakaway region of Moldova.","Jan. 27, 2022","By Michael Schwirtz, Scott Reinhard and Josh Holder"
"74","Russia dismissed a U.N. Security Council meeting as an American P.R. stunt.","/2022/01/28/world/europe/russia-un-security-us-ukraine.html?searchResultPosition=10","U.S. officials see the meeting, scheduled for Monday, as a chance to expose Russia to criticism on a global stage. They expressed confidence that it would go ahead as planned.","Jan. 28, 2022","By Rick Gladstone"
"75","As Russian Troops Mass in Belarus, a Ukraine Border Is Largely Undefended","/2022/01/29/world/europe/russia-troops-belarus-border-ukraine.html?searchResultPosition=1","From the border, it’s a fast 140 miles down a newly paved highway to Kyiv, the Ukrainian capital, but only a few troops stand guard.","Jan. 29, 2022","By Michael Schwirtz"
"76","The Hard-Line Russian Advisers Who Have Putin’s Ear","/2022/01/30/world/europe/putin-top-advisers-ukraine.html?searchResultPosition=2","Three reactionary security officials dedicated to “traditional values” and restoring Soviet glory will figure prominently in the decision whether to invade Ukraine.","Jan. 30, 2022","By Anton Troianovski"
"77","Emmanuel Macron Walks a Fine Line on Ukraine","/2022/01/29/world/europe/macron-ukraine-russia-putin-nato-eu.html?searchResultPosition=3","The French president, determined to engage with Russia, wants to shape a new European security order from crisis — and win the April election.","Jan. 29, 2022","By Roger Cohen"
"78","Britain Toughens Stance on Russia, as Russia Presses NATO for Assurances","/2022/01/30/world/europe/britain-russia-ukraine-sanctions-nato.html?searchResultPosition=4","Britain moved to broaden the range of sanctions available if Russia invades Ukraine, as Moscow sent an “urgent demand” to NATO to clarify its stance.","Jan. 30, 2022","By Anna Schaverien"
"79","Putin Has Long Tried to Balance Europe. Now He’s Working to Reset It.","/2022/01/29/world/europe/putin-ukraine-europe-russia.html?searchResultPosition=5","After years of trying to diplomatically divide and conquer, the Russian leader has seemingly decided to antagonize Europe as a whole in the current Ukraine crisis.","Jan. 29, 2022","By Max Fisher"
"80","‘My Soul Is Crying’: Ukrainians Remember a Deadly Rocket Attack","/video/world/europe/100000008180128/ukraine-mariupol-russia.html?searchResultPosition=6","Residents in Mariupol, a Ukrainian frontline city rocked by shelling in 2015, mourn the dead as they brace for a potential Russian escalation.","Jan. 29, 2022","By Yousur Al-Hlou, Brent McDonald, Andriy Dubchak and Dmitriy Khavin"
"81","Angry U.S.-Russia Exchange at U.N. Punctuates Deepening Ukraine Rift","/2022/01/31/world/europe/ukraine-russia-united-nations.html?searchResultPosition=1","With vitriolic accusations that echoed the Cold War era, the United States and Russia sparred in a bitter debate over the Ukraine crisis in a Security Council meeting watched by the world on Monday.","Jan. 31, 2022","By Rick Gladstone and Maria Varenikova"
"82","Putin Signals Openness to Diplomacy While Blaming U.S. for Crisis","/2022/02/01/world/europe/putin-russia-ukraine.html?searchResultPosition=2","The Russian president seemed to be trying to ratchet down tensions in the standoff over Ukraine, while claiming the United States was seeking to goad Moscow into an invasion.","Feb. 1, 2022","By Anton Troianovski and Michael Schwirtz"
"83","U.S. and Russian diplomats clash over Ukraine at the U.N.","/live/2022/01/31/world/ukraine-russia-us/ukraine-security-council?searchResultPosition=3","The Americans saw the Security Council meeting as an opportunity to isolate Russia, which called the meeting a farce, but nobody ruled out diplomacy to resolve the Ukraine crisis.","Jan. 31, 2022","By Rick Gladstone and Anton Troianovski"
"84","For Some of Ukraine’s Neighbors, ‘Defend Europe’ Has Another Meaning","/2022/01/31/world/europe/ukraine-poland-hungary-nato.html?searchResultPosition=4","For the populist leaders of Poland and Hungary, Russia’s saber-rattling on the border with Ukraine takes a back seat to domestic politics and issues like immigration.","Jan. 31, 2022","By Andrew Higgins"
"85","Putin and Macron talk again by phone, keeping diplomatic lines open.","/2022/01/31/world/europe/putin-macron-ukraine.html?searchResultPosition=5","The two leaders discussed Ukraine and Russia’s demand for “security guarantees” that would include a legally binding halt on NATO expansion to the east.","Jan. 31, 2022","By Anton Troianovski and Aurelien Breeden"
"86","With Low-Tech, Trench Warfare, Ukraine’s Army Isn’t NATO Caliber","/2022/02/01/world/europe/ukraine-army-nato-russia.html?searchResultPosition=6","The United States and its allies have trained and helped equip the Ukrainian army. But it has little resemblance to the kind of sophisticated, contemporary military that distinguishes NATO members.","Feb. 1, 2022","By Andrew E. Kramer"
"87","The White House threatens sanctions against Putin’s ‘inner circle’ if Russia invades Ukraine.","/2022/01/31/world/europe/putin-sanctions-list.html?searchResultPosition=7","The Biden administration said the penalties would exceed any levied recently against Russia. It is unclear whether the list of targets includes Vladimir V. Putin himself.","Jan. 31, 2022","By David E. Sanger"
"88","A wave of bomb threats heightens an already tense mood in Ukraine.","/live/2022/01/31/world/ukraine-russia-us/ukraine-russia-bomb-threats?searchResultPosition=8",NA,"Jan. 31, 2022","By Maria Varenikova"
"89","Where the Ukraine standoff stands.","/live/2022/01/31/world/ukraine-russia-us/where-the-ukraine-standoff-stands?searchResultPosition=9","As Russia continued its troop buildup at Ukraine borders, NATO allies warned that an invasion would bring ruinous sanctions and could become Europe’s bloodiest conflict in decades.","Jan. 31, 2022","By Marc Santora"
"90","See how Russia has continued to build up its forces around Ukraine.","/live/2022/01/28/world/ukraine-russia-news/see-how-russia-has-continued-to-build-up-its-forces-around-ukraine?searchResultPosition=10",NA,"Feb. 1, 2022","By Michael Schwirtz, Scott Reinhard and Josh Holder"
"91","In Responses to Russia, U.S. Stands Firm on Who Can Join NATO","/2022/02/02/world/europe/us-nato-response-russia-demands.html?searchResultPosition=1","Leaked replies to Moscow’s security demands reinforced the intractability of a crisis that threatens to lead to war.","Feb. 2, 2022","By Steven Erlanger and Andrew E. Kramer"
"92","Turkey, a Sometimes Wavering NATO Ally, Backs Ukraine","/2022/02/03/world/europe/ukraine-turkey-russia-drones.html?searchResultPosition=2","In a public rebuke of Russia, Turkey will expand supplies of one of the Ukrainian Army’s most sophisticated weapons, a long-range, Turkish-made armed drone.","Feb. 3, 2022","By Andrew E. Kramer"
"93","In Clash With U.S. Over Ukraine, Putin Has a Lifeline From China","/2022/02/02/world/asia/russia-ukraine-china-putin-xi.html?searchResultPosition=3","President Biden could find his plans to punish Russia undermined by Xi Jinping, a longtime ally of Mr. Putin. But China moves cautiously during crises.","Feb. 2, 2022","By Steven Lee Myers and Edward Wong"
"94","Putin, Facing Sanction Threats, Has Been Saving for This Day","/2022/02/03/world/europe/putin-sanctions-proofing.html?searchResultPosition=4","Since paying the price for annexing Crimea in 2014, Russia has tried to make its economy sanctions-proof, hoarding currency to insulate the country.","Feb. 3, 2022","By Max Fisher"
"95","Five Takeaways on Ukraine Crisis, After Putin Breaks Silence","/2022/02/02/world/europe/putin-russia-ukraine-us.html?searchResultPosition=5","The threat of conflict may not have passed, despite a flurry of diplomacy in Moscow and Kyiv.","Feb. 2, 2022","By Marc Santora and Shashank Bengali"
"96","On the eve of his meeting with Xi, Putin pledges to deepen ties with China.","/2022/02/03/world/asia/putin-xi-meeting-russia-china.html?searchResultPosition=6","Russia’s president did not mention Ukraine, but said he and China’s leader would coordinate foreign policy “based on close and coinciding approaches.”","Feb. 3, 2022","By Steven Lee Myers"
"97","Turkey’s president agrees to provide Ukraine with drones, but also offers to be a mediator with Russia.","/live/2022/02/03/world/ukraine-russia-news/erdogan-turkey-ukraine?searchResultPosition=7","President Recep Tayyip Erdogan said he was determined to help de-escalate the crisis.","Feb. 3, 2022","By Andrew E. Kramer"
"98","Ukraine’s foreign minister endorses a U.S. plan to ease tensions.","/live/2022/02/02/world/ukraine-russia-news/ukraines-foreign-minister-endorses-a-us-plan-to-ease-tensions?searchResultPosition=8",NA,"Feb. 2, 2022","By Andrew E. Kramer"
